uso_cpu_percent,uso_ram_percent,uso_gpu_percent,uso_disco_percent,temperatura_c,status_crash
14.09,32.12,12.6,48.65,34.35,0
80.22,36.98,97.92,33.4,76.0,1
7.46,29.0,67.38,10.68,33.18,0
98.69,43.07,84.69,23.88,88.27,1
77.22,79.32,32.43,94.93,81.93,1
19.87,59.15,67.65,30.51,48.3,0
0.55,32.41,59.42,16.89,29.47,0
81.55,89.62,60.32,46.07,84.42,1
70.69,89.76,68.25,30.71,74.2,1
72.9,89.0,57.54,3.52,74.06,1
77.13,35.3,42.91,32.31,80.81,1
7.4,53.36,27.59,54.41,34.8,0
35.85,98.72,76.86,55.17,61.8,1
11.59,80.62,22.63,35.66,29.76,0
86.31,17.31,69.24,44.73,79.21,1
62.33,20.54,23.33,96.55,66.77,1
33.09,54.43,62.53,37.73,52.05,0
6.36,92.28,74.71,25.82,40.15,0
31.1,60.79,21.87,24.35,48.54,0
32.52,57.31,5.99,45.78,42.4,0
72.96,23.97,13.1,75.95,77.99,0
63.76,70.83,60.6,20.6,72.03,1
88.72,84.88,84.94,70.93,73.52,1
47.22,47.34,4.5,2.11,58.31,0
11.96,80.93,73.42,41.89,29.22,0
71.32,96.98,34.13,77.59,69.47,1
76.08,32.32,47.85,33.87,71.13,0
56.13,59.48,92.89,56.37,67.72,1
77.1,39.41,33.2,20.5,76.84,0
49.38,82.39,46.53,74.2,53.2,1
52.27,64.1,1.37,5.23,65.76,0
42.75,68.94,8.16,85.25,48.48,1
2.54,82.82,25.86,19.82,33.18,0
10.79,48.66,2.79,87.44,32.4,0
3.14,92.78,63.14,35.25,30.06,0
63.64,60.31,42.64,72.27,70.71,1
31.44,28.43,54.81,31.92,51.47,0
50.86,74.15,17.46,90.59,67.2,1
90.76,82.43,29.59,12.66,84.04,1
24.93,41.92,66.38,17.85,46.49,0
41.04,87.86,96.53,49.3,52.43,1
75.56,92.02,5.04,8.19,76.24,0
22.88,38.54,89.04,19.6,45.93,0
7.7,98.6,57.69,94.38,34.13,1
28.98,26.96,56.39,97.65,38.37,0
16.12,32.17,50.03,37.63,41.33,0
92.97,30.66,6.94,92.33,87.6,1
80.81,90.99,8.99,54.48,75.09,1
63.34,70.61,60.09,26.97,61.58,1
87.15,27.93,34.1,70.24,89.67,1
80.37,52.43,91.73,65.89,80.68,1
18.66,67.3,40.66,98.91,40.05,1
89.26,22.09,14.33,26.5,77.87,0
53.93,90.01,71.47,67.21,58.25,1
80.74,83.31,29.34,5.2,84.96,1
89.61,57.94,52.55,11.36,84.45,1
31.8,97.21,69.78,0.39,46.33,1
11.01,50.51,90.03,99.95,39.15,0
22.79,98.65,79.22,80.23,39.6,1
42.71,71.77,67.64,78.67,63.13,1
81.8,68.95,67.96,50.97,85.84,1
86.07,29.11,94.59,30.01,79.31,1
0.7,89.96,29.58,15.13,27.27,0
51.07,51.34,0.11,28.47,47.55,0
41.74,28.79,27.2,37.6,47.64,0
22.21,16.07,21.79,75.63,36.63,0
11.99,62.58,66.18,53.97,37.87,0
33.76,59.83,63.37,7.75,48.63,0
94.29,76.15,59.35,1.8,79.85,1
32.32,90.67,1.62,10.23,47.99,0
51.88,21.75,72.88,41.05,63.65,1
70.3,77.18,32.35,93.32,74.82,1
36.36,30.93,66.51,63.74,42.32,0
97.18,87.95,55.66,80.18,87.67,1
96.24,84.62,34.27,46.64,80.83,1
25.18,60.97,13.46,36.17,49.62,0
49.72,75.37,9.44,10.84,63.76,0
30.09,41.72,83.15,87.59,43.56,0
28.48,55.05,91.84,78.32,43.26,1
3.69,84.84,64.98,16.81,29.91,0
60.96,54.04,10.34,51.23,55.31,0
50.27,45.41,40.2,48.74,61.84,0
5.15,57.01,72.89,62.51,31.72,0
27.86,85.4,77.98,94.62,51.57,1
90.83,43.49,11.82,57.98,79.0,1
23.96,29.77,0.0,54.02,41.28,0
14.49,75.52,71.21,5.03,31.16,0
48.95,85.21,35.66,6.29,54.35,0
98.57,23.55,25.45,18.73,83.23,1
24.21,35.39,1.29,3.25,49.5,0
67.21,27.07,54.03,74.34,66.84,0
76.16,44.58,85.12,72.33,76.32,1
23.76,53.28,95.76,13.61,42.35,0
72.82,78.65,56.57,83.61,67.35,1
36.78,70.35,51.45,15.48,51.23,0
63.23,67.78,8.51,30.12,70.93,0
63.35,44.95,54.89,24.9,61.97,1
53.58,86.52,38.0,37.23,66.19,0
9.03,55.06,60.71,25.47,31.17,0
83.53,98.22,38.87,48.9,77.7,1
32.08,68.9,24.03,40.74,51.9,0
18.65,25.73,9.5,98.66,37.87,0
4.08,72.48,31.49,5.59,32.63,0
59.09,42.63,9.66,14.22,63.88,0
67.76,73.34,17.69,5.28,71.3,1
1.66,20.92,98.73,62.58,19.09,0
51.21,29.86,44.41,5.45,51.58,0
22.65,87.74,53.19,83.64,46.67,0
64.52,34.31,87.36,51.19,73.9,0
17.44,86.15,99.56,52.7,35.91,0
69.09,38.74,58.27,56.16,70.24,0
38.67,69.64,81.25,17.08,54.68,1
93.67,74.0,32.69,19.77,89.67,1
13.75,58.58,30.57,31.88,28.11,0
34.11,40.95,40.27,59.35,46.03,0
11.35,33.07,67.25,21.01,35.15,0
92.47,17.82,68.22,11.63,89.0,1
87.73,40.84,31.52,97.01,95.13,1
25.79,70.52,13.32,2.2,44.34,0
66.0,94.76,63.24,80.27,62.56,1
81.72,89.05,12.83,78.8,81.04,1
55.52,80.12,57.85,29.72,69.92,1
52.97,82.02,69.34,13.56,62.32,1
24.19,71.52,70.06,14.56,39.98,0
9.31,37.12,75.35,69.74,40.38,0
89.72,92.11,87.29,64.28,87.15,1
90.04,72.01,50.0,78.27,78.89,1
63.31,62.64,73.02,93.75,69.89,1
33.9,24.43,61.92,69.19,55.33,0
34.92,53.0,18.66,15.59,56.86,0
72.6,54.13,2.57,24.34,73.23,0
89.71,88.49,28.45,84.22,82.04,1
88.71,61.47,44.3,20.93,89.36,1
77.99,47.33,61.71,7.25,70.74,0
64.2,98.03,85.0,70.33,70.71,1
8.41,24.41,19.62,40.25,28.2,0
16.16,50.92,12.55,92.0,45.02,0
89.86,18.57,96.35,65.03,82.62,1
60.64,77.89,10.8,9.04,72.73,0
0.92,93.04,47.85,94.79,33.01,1
10.15,38.8,58.56,25.86,29.97,0
66.35,87.96,54.14,33.72,76.93,1
0.51,39.84,8.6,40.23,38.06,0
16.08,92.42,5.7,5.12,44.06,0
54.87,79.09,10.55,49.65,59.12,1
69.19,83.42,58.56,12.33,69.98,1
65.2,16.53,54.43,40.1,69.84,0
22.43,96.84,23.37,35.07,39.94,0
71.22,76.77,63.78,77.28,81.19,1
23.72,40.9,82.01,80.32,44.96,1
32.54,85.5,4.16,15.34,36.01,0
74.65,38.93,49.81,36.66,76.49,1
64.96,89.18,68.93,37.34,67.24,1
84.92,24.57,25.23,15.14,80.58,0
65.76,74.81,30.78,79.85,67.61,1
56.83,60.96,61.36,70.72,68.13,1
9.37,23.21,89.79,19.04,41.22,0
36.77,35.56,80.99,36.67,53.48,0
26.52,16.05,58.31,10.58,44.22,0
24.4,54.85,73.02,62.82,44.43,0
97.3,40.61,36.48,12.14,88.48,1
39.31,65.86,64.1,98.59,49.57,1
89.2,40.27,46.62,78.07,86.42,1
63.11,40.49,18.99,39.02,70.17,0
79.48,78.17,70.17,57.86,85.39,1
50.26,19.09,55.65,91.13,66.43,1
57.69,91.75,35.86,55.41,61.19,1
49.25,87.44,91.13,17.45,63.65,1
19.52,71.76,2.09,37.87,36.96,0
72.25,65.42,31.58,84.31,76.83,1
28.08,90.85,5.69,64.42,44.26,0
2.43,30.75,76.65,65.07,26.34,0
64.55,21.71,70.21,86.68,70.13,1
17.71,35.36,33.14,89.4,27.25,0
94.05,82.54,67.57,91.98,77.67,1
95.39,17.95,39.59,9.48,86.35,0
91.49,64.54,75.63,54.41,85.3,1
37.02,99.61,45.42,74.05,50.36,1
1.55,87.73,41.23,75.69,23.03,0
92.83,59.32,93.47,60.67,81.61,1
42.82,20.41,25.09,16.68,57.65,0
96.67,85.67,12.04,79.74,90.91,1
96.36,65.91,58.45,72.01,87.74,1
85.3,24.77,96.93,8.61,86.96,0
29.44,22.98,37.78,46.38,49.65,0
38.51,92.32,6.2,17.4,49.37,0
85.11,71.88,33.93,33.75,79.67,1
31.69,85.49,50.59,1.81,42.0,0
16.95,89.71,16.19,40.03,39.63,0
55.68,63.6,65.81,54.99,68.97,1
93.62,58.98,99.77,61.96,89.6,1
69.6,51.59,45.17,66.35,78.77,1
57.01,41.94,35.47,83.63,62.69,1
9.72,51.94,40.07,21.55,42.56,0
61.5,80.78,11.51,12.05,65.93,0
99.01,66.16,88.33,85.15,96.76,1
14.01,90.86,41.48,15.66,38.3,0
51.83,52.69,38.73,97.48,64.64,1
87.74,66.6,65.97,84.25,90.02,1
74.08,68.66,44.2,50.09,73.48,1
69.7,65.29,64.82,98.14,72.91,1
70.25,74.72,6.14,9.74,78.59,0
35.95,35.18,81.37,30.31,50.9,0
29.36,58.55,94.05,63.82,41.01,0
80.94,23.86,64.88,35.0,89.28,1
81.01,47.68,95.46,92.84,76.26,1
86.71,56.45,15.14,6.56,82.82,1
91.32,70.44,47.74,54.94,90.57,1
51.13,95.8,60.18,59.09,57.64,1
50.15,66.06,58.17,65.27,55.05,1
79.83,78.21,40.15,25.57,79.17,1
65.0,58.03,33.81,36.46,60.03,1
70.2,68.9,12.68,84.37,70.68,1
79.58,21.03,39.17,19.49,78.97,0
89.0,36.62,16.27,82.69,82.05,1
33.8,45.76,73.44,56.27,42.56,0
37.56,55.16,20.88,76.22,60.51,1
9.4,18.88,5.86,71.36,36.16,0
57.83,26.9,55.24,20.75,71.85,0
3.59,38.53,59.52,56.88,30.86,0
46.56,97.58,87.19,86.77,53.54,1
54.26,43.16,57.7,43.21,63.9,1
28.65,55.97,34.55,96.66,46.11,0
59.08,31.67,80.3,45.22,59.56,1
3.05,66.92,54.03,14.28,39.18,0
3.73,38.86,7.93,38.94,29.13,0
82.26,32.59,56.59,95.17,70.15,1
36.02,58.91,90.8,31.97,58.25,0
12.71,15.47,39.63,86.81,35.1,0
52.22,15.65,29.63,88.13,58.3,0
77.0,33.62,14.35,35.02,67.37,1
21.58,18.12,15.14,8.33,51.65,0
62.29,24.18,43.28,72.46,60.93,1
8.53,43.8,59.57,31.15,35.41,0
5.17,83.22,8.06,78.29,37.66,0
53.14,63.62,93.96,44.27,63.99,1
54.06,58.58,75.51,48.53,62.14,1
63.74,39.95,58.66,77.79,59.74,1
72.61,94.2,82.84,38.24,69.52,1
97.59,48.75,8.02,44.31,89.49,1
51.63,22.4,47.68,37.62,57.04,0
32.3,67.45,63.01,36.73,50.39,0
79.52,24.68,82.87,52.59,81.12,1
27.08,44.34,78.35,80.88,51.06,1
43.9,58.13,27.71,36.18,50.21,0
7.85,89.31,94.09,52.43,45.69,1
2.54,56.95,12.43,67.07,35.36,0
96.26,74.69,87.51,26.94,87.75,1
83.6,99.39,97.09,27.75,85.61,1
69.6,26.18,17.72,93.34,83.59,1
40.9,38.35,72.21,72.35,47.34,1
17.33,48.54,4.03,57.72,39.27,0
15.64,50.86,40.54,64.77,27.49,0
25.02,49.94,51.63,2.93,45.98,0
54.92,92.15,58.06,61.81,64.78,1
71.46,75.69,93.59,50.95,72.68,1
66.02,66.67,67.23,54.57,66.34,1
27.99,41.3,48.13,35.94,36.55,0
95.49,85.02,80.97,8.15,89.16,1
73.79,96.18,95.05,19.33,81.55,1
55.44,84.8,2.21,95.07,60.31,1
61.17,15.13,98.25,40.87,68.9,1
41.96,69.09,8.61,46.67,47.34,0
24.77,19.35,81.44,5.27,47.15,0
35.6,36.9,28.03,3.76,49.39,0
75.78,20.06,13.22,71.72,71.66,0
1.44,66.32,43.99,53.81,27.06,0
11.61,73.36,64.4,50.87,35.0,0
4.6,24.73,38.1,24.31,34.67,0
4.07,47.63,5.46,74.48,25.88,0
85.55,53.78,59.95,16.82,79.34,0
70.37,46.37,90.24,18.99,72.01,1
47.42,25.29,38.32,46.07,52.96,0
9.78,50.61,21.63,28.63,44.85,0
49.16,78.85,44.26,24.75,55.23,0
47.35,21.04,4.84,64.52,55.06,0
17.32,21.82,82.05,65.1,35.5,0
43.39,45.16,82.63,82.45,65.02,1
39.85,95.05,58.8,41.77,56.67,0
61.59,71.83,35.31,7.31,62.27,0
63.51,72.69,79.98,27.37,73.64,1
4.53,45.76,55.47,98.0,33.72,0
37.46,65.46,82.59,59.63,53.76,1
62.59,15.86,63.15,70.97,65.83,0
50.31,69.07,78.44,0.74,56.44,0
85.65,92.63,59.86,51.82,83.08,1
65.87,67.07,41.41,3.75,66.8,0
16.29,89.26,95.79,56.92,48.86,1
7.06,76.54,54.11,92.08,27.89,0
64.24,25.25,60.51,96.84,76.23,0
2.65,91.71,22.05,54.06,31.03,0
58.58,20.65,62.57,45.82,66.64,0
94.02,60.39,57.16,94.5,90.58,1
57.55,27.08,18.48,67.36,61.38,0
38.82,16.0,5.96,6.49,57.61,0
64.33,50.87,60.44,46.57,55.06,0
45.83,40.08,76.37,24.02,53.9,0
54.56,56.31,52.34,46.98,58.12,0
94.15,64.06,22.68,45.55,80.22,1
38.61,18.72,66.65,58.21,52.09,0
96.12,25.46,8.01,35.68,89.6,1
90.54,62.48,44.18,16.43,87.83,1
19.58,44.17,16.34,50.37,42.95,0
6.94,76.98,18.45,83.02,30.83,0
10.08,70.44,20.23,66.4,37.89,0
1.82,86.88,38.67,33.84,31.71,0
9.44,73.86,5.12,93.55,40.35,0
68.3,51.54,39.78,91.22,74.87,1
7.12,72.2,51.17,20.93,34.42,0
31.9,38.41,48.33,3.94,44.65,0
84.49,41.04,38.28,74.13,77.43,1
2.33,82.06,83.91,82.76,28.65,0
81.45,52.95,14.53,96.79,77.29,1
28.19,82.86,50.57,88.98,48.25,1
11.82,84.91,6.2,60.05,40.67,0
69.67,87.89,7.12,53.01,71.55,1
62.89,92.91,57.39,2.78,67.82,1
87.75,51.63,56.6,24.67,83.36,1
73.51,42.1,87.8,45.96,71.52,0
80.35,64.49,55.79,62.85,73.58,1
28.2,46.55,95.98,55.73,38.14,0
17.74,66.09,4.87,74.26,37.17,0
75.06,74.97,9.8,27.98,77.4,1
80.68,73.51,4.41,56.5,74.9,0
99.05,46.84,18.53,8.81,88.24,0
41.26,29.18,54.13,41.37,57.09,0
37.2,51.59,64.56,75.02,54.92,1
77.64,27.12,4.56,69.34,71.19,0
34.08,90.66,94.6,99.06,55.43,1
93.08,44.4,84.22,27.79,91.48,1
85.84,28.13,29.66,49.82,75.86,0
42.9,17.16,7.72,32.95,51.62,0
75.09,69.89,16.99,44.06,81.01,1
75.45,69.14,12.69,85.7,74.54,1
10.31,43.95,12.33,68.42,25.09,0
90.26,21.1,51.86,88.24,77.15,1
50.53,49.82,24.58,20.35,59.07,0
82.65,41.45,35.81,87.34,73.77,1
32.0,72.56,98.95,5.98,47.14,1
89.55,66.49,68.43,88.86,83.89,1
38.92,45.99,94.9,32.91,60.66,0
1.08,33.52,14.26,31.46,29.2,0
90.54,98.98,38.21,51.21,89.69,1
9.13,53.59,55.47,94.07,42.62,0
31.93,73.5,7.68,4.78,56.33,0
95.01,26.95,0.42,35.22,88.43,0
95.06,56.28,67.04,85.66,77.22,1
57.34,17.34,64.18,39.61,66.71,0
63.18,57.96,41.08,19.92,73.15,1
44.84,96.94,48.96,42.48,56.5,1
29.32,47.66,41.54,38.56,56.32,0
32.87,18.31,2.4,91.54,54.02,0
67.25,17.63,33.54,76.19,73.19,0
75.24,47.98,17.71,50.51,80.57,1
79.16,28.6,9.84,98.84,79.16,0
78.96,16.98,95.67,46.53,64.91,1
9.12,79.28,59.94,5.82,32.98,0
49.44,53.97,72.87,26.23,65.65,1
5.76,39.59,31.54,43.61,29.42,0
54.95,91.51,39.31,15.69,61.85,1
44.15,24.87,23.69,94.76,51.27,0
88.77,96.25,9.7,76.68,92.18,1
35.09,41.69,17.9,26.83,59.46,0
11.71,90.51,79.75,59.08,32.6,1
14.3,66.25,67.75,72.14,39.32,0
76.15,85.27,54.69,94.13,72.29,1
61.82,98.64,47.51,88.16,70.17,1
10.11,39.51,92.24,51.52,38.62,0
8.41,96.7,7.27,77.47,39.1,0
70.1,48.11,28.06,56.21,73.72,1
7.28,47.77,34.99,55.27,49.04,0
82.19,43.93,78.24,11.47,74.17,1
70.62,61.02,99.25,12.61,63.82,1
8.13,28.1,24.07,52.95,32.92,0
8.48,62.07,87.43,26.89,27.25,0
98.66,61.04,83.06,2.1,81.74,1
37.43,79.76,22.47,72.28,47.45,1
37.06,85.86,39.93,3.25,47.63,0
81.28,52.44,40.97,59.53,73.99,1
94.72,40.7,97.82,53.92,89.43,1
98.6,37.04,18.09,96.88,86.63,1
75.34,31.54,79.92,48.42,74.31,1
37.63,19.9,33.42,6.36,57.05,0
8.35,44.11,73.09,55.17,31.18,0
77.71,37.97,42.0,84.11,75.31,1
55.84,97.15,57.84,99.68,65.33,1
42.42,62.41,83.26,43.03,45.75,0
90.64,44.52,80.42,32.03,72.46,1
11.12,64.34,86.64,90.67,38.4,1
49.26,26.83,5.96,19.12,62.02,0
1.14,52.74,69.21,61.54,41.0,0
46.87,68.23,14.0,40.57,58.91,0
5.63,56.56,41.58,4.11,37.48,0
11.88,49.15,54.86,34.73,36.15,0
11.75,99.48,40.27,26.52,38.54,0
64.92,89.83,51.96,68.61,77.29,1
74.6,67.99,99.65,94.88,64.14,1
58.34,63.4,13.52,26.8,67.07,0
96.22,67.76,67.55,81.15,98.41,1
37.49,32.11,39.6,5.54,53.9,0
28.57,48.59,13.3,53.81,55.4,0
86.86,18.35,15.87,7.06,78.97,0
22.36,55.42,94.93,93.4,43.26,1
96.32,61.16,87.96,76.64,87.96,1
1.22,34.36,90.7,65.79,19.64,0
96.99,96.94,99.15,82.39,82.35,1
4.32,92.3,20.83,64.75,27.11,0
89.11,76.38,35.54,96.89,87.58,1
52.77,60.34,66.92,71.4,66.02,1
99.3,88.95,48.38,92.47,91.2,1
7.38,26.11,41.84,51.71,38.55,0
55.39,82.19,35.78,11.71,62.41,0
96.93,25.61,59.38,52.82,94.17,1
52.31,82.51,57.56,12.69,61.43,1
62.94,38.44,16.15,59.25,68.05,0
69.57,89.55,47.17,48.25,70.42,1
45.45,95.24,55.35,62.26,60.69,1
62.76,27.65,57.03,1.0,65.55,0
58.43,54.33,21.01,19.48,69.94,0
90.12,98.38,74.23,49.13,78.41,1
4.54,56.09,2.52,95.05,27.23,0
28.1,88.4,35.48,38.36,50.29,0
95.04,65.04,78.02,42.44,86.58,1
89.03,46.9,56.39,71.47,81.15,1
45.57,39.29,26.12,60.38,61.79,0
62.01,32.27,69.5,29.89,64.17,1
27.74,79.75,56.74,41.08,45.64,0
18.81,47.86,79.62,21.77,48.28,0
46.37,58.46,73.5,96.6,65.52,1
35.34,56.85,61.01,13.06,59.06,0
58.37,64.07,48.82,37.18,63.61,1
7.77,88.57,13.32,2.58,40.82,0
97.44,98.36,26.13,22.18,83.72,1
98.62,49.64,41.91,78.05,84.64,1
69.82,85.34,59.93,20.12,60.14,0
53.61,79.98,51.37,8.01,70.53,0
30.95,63.75,28.82,47.45,44.25,0
81.38,96.26,0.65,1.0,78.2,0
68.47,32.04,49.62,8.48,66.53,0
16.26,24.29,28.56,80.76,43.23,0
91.09,87.59,73.46,77.15,82.78,1
82.25,52.33,2.39,91.51,72.83,1
94.98,86.99,58.48,85.45,89.2,1
72.57,90.91,94.15,68.32,66.37,1
61.34,20.31,17.44,5.23,62.62,0
41.82,90.09,47.16,78.28,44.56,0
93.27,53.11,9.14,84.55,78.84,1
86.61,58.39,62.57,79.91,82.86,1
4.52,68.26,55.05,50.85,22.89,0
2.64,93.74,40.74,23.29,24.18,0
37.65,16.62,52.14,84.53,52.58,1
81.06,55.53,89.66,72.72,75.92,1
98.73,73.46,19.63,98.08,99.2,1
15.04,76.43,2.26,15.57,48.19,0
59.41,73.87,86.17,22.57,61.31,0
38.09,26.43,57.71,21.18,55.64,0
96.99,40.45,89.07,79.25,91.94,1
84.21,45.49,59.69,18.69,77.54,0
83.83,83.38,81.02,6.67,72.82,1
46.87,38.69,42.97,99.86,58.06,0
41.48,32.91,74.99,2.48,54.02,0
27.34,96.38,91.3,83.52,44.23,1
5.64,15.75,57.21,36.54,35.59,0
86.47,99.81,18.08,84.16,78.13,1
81.29,72.53,26.88,55.46,73.01,1
99.97,85.42,19.86,90.16,90.53,1
99.66,40.04,24.69,92.62,91.73,1
55.54,16.22,30.64,0.91,57.44,0
76.9,77.72,55.51,7.54,80.78,1
94.48,85.9,58.8,25.04,77.83,1
84.96,77.94,42.65,66.93,78.09,1
24.73,27.14,61.54,88.83,43.55,0
45.05,79.04,8.16,45.99,53.85,0
12.92,80.36,8.78,60.7,34.92,0
95.41,70.98,17.18,18.85,96.6,1
60.62,80.12,51.81,80.5,62.12,1
22.86,86.9,21.4,96.73,55.92,1
67.17,67.16,28.33,26.86,72.49,1
61.81,22.53,40.03,49.48,67.55,0
35.82,56.45,81.19,8.61,53.87,0
11.36,21.6,1.39,55.91,49.46,0
67.16,49.64,64.94,50.28,65.33,0
52.03,49.6,66.89,14.44,55.62,0
77.23,20.61,79.87,44.21,72.56,1
52.02,44.65,93.28,33.41,61.37,0
85.22,24.43,2.01,52.18,72.5,0
55.19,83.7,15.38,58.57,63.23,0
56.09,95.55,88.62,0.85,72.12,1
87.67,21.15,45.85,76.1,83.36,1
40.35,96.18,56.46,71.3,52.75,1
13.4,59.42,66.3,36.63,34.95,0
2.88,40.46,67.91,5.29,36.22,0
75.51,21.53,93.17,75.49,71.18,1
62.03,57.55,99.69,95.52,76.45,1
70.41,82.53,72.02,24.02,81.91,1
21.3,75.1,28.72,32.35,44.06,0
13.64,19.27,87.98,18.38,38.12,0
1.45,21.2,4.92,57.69,36.03,0
35.06,49.24,23.11,15.48,56.51,0
58.99,40.1,89.74,35.62,61.37,1
39.22,34.75,25.62,69.7,50.9,0
43.75,38.89,22.07,56.01,49.64,0
90.42,83.3,13.81,38.65,86.29,1
34.83,93.98,85.91,42.02,54.23,1
51.4,49.43,50.01,56.21,54.09,1
78.37,92.02,67.49,0.59,74.74,1
39.65,42.33,23.91,7.85,47.06,0
62.21,55.5,75.8,88.13,62.83,1
86.24,34.21,76.0,7.79,84.5,1
94.95,69.44,31.26,70.68,83.3,1
14.71,98.21,41.07,92.0,37.32,1
92.66,66.3,20.97,27.07,77.46,1
49.21,45.41,97.66,37.05,60.46,1
25.82,70.06,64.56,56.89,45.27,0
45.91,25.45,93.45,88.17,53.9,1
98.0,90.54,30.34,94.19,87.86,1
49.26,57.76,78.19,73.96,60.46,1
32.88,53.19,76.59,8.66,45.65,0
63.34,64.8,69.17,66.92,60.62,1
24.01,68.11,96.56,41.03,53.44,0
7.59,21.1,39.36,47.07,31.39,0
12.89,73.02,13.07,4.91,37.25,0
12.8,35.56,67.17,19.11,42.74,0
15.19,75.69,72.93,79.05,56.76,1
13.88,84.92,57.51,45.4,32.11,0
64.09,83.34,20.68,30.17,70.7,1
18.19,61.96,50.45,38.4,37.38,0
34.57,59.21,31.22,85.44,48.05,0
89.68,27.14,42.75,74.9,80.21,1
47.4,80.9,64.52,27.23,52.81,0
66.76,38.07,74.52,11.75,69.85,0
17.23,57.22,23.22,25.2,32.97,0
19.23,39.16,40.53,92.08,46.27,0
4.09,26.38,26.92,58.16,32.73,0
16.89,68.51,19.86,53.35,42.25,0
27.86,19.62,78.34,59.64,44.38,0
17.7,78.63,90.93,36.6,38.78,0
8.87,41.99,37.02,80.71,36.76,0
12.06,15.01,75.13,52.33,31.42,0
46.08,58.45,89.7,11.67,55.86,0
20.63,18.98,84.61,12.91,38.08,0
36.43,38.47,18.28,53.69,47.4,0
50.34,75.09,95.63,93.66,49.66,1
69.04,20.33,37.67,30.84,78.12,0
3.93,86.34,33.92,86.95,28.93,0
79.94,15.32,6.24,76.41,83.78,1
62.79,35.98,48.62,24.78,73.02,0
8.18,77.98,10.9,3.63,28.48,0
87.36,41.88,24.85,10.18,76.97,1
92.09,23.66,31.69,72.85,98.05,1
6.11,45.62,80.88,19.97,42.42,0
27.69,37.98,87.55,37.13,46.46,0
80.62,86.63,30.25,50.17,79.66,1
74.83,41.63,85.87,72.55,71.74,1
18.45,82.06,85.72,11.32,43.23,0
20.93,90.81,76.47,40.64,38.98,0
37.05,51.87,14.67,48.51,42.07,0
48.45,92.35,69.03,54.08,52.46,1
61.83,47.07,94.5,81.84,67.2,1
36.89,96.95,68.25,17.17,46.48,0
46.25,22.59,33.16,80.78,57.42,0
74.75,73.4,50.06,69.29,69.47,1
3.67,56.97,64.57,55.59,28.29,0
25.24,47.95,51.06,69.95,49.41,0
71.33,68.78,12.0,41.2,74.04,1
